ID,Set,District,Block,CropTillageDate,CropTillageDepth,CropEstMethod,RcNursEstDate,SeedingSowingTransplanting,SeedlingsPerPit,TransplantingIrrigationHours,TransplantingIrrigationSource,TransplantingIrrigationPowerSource,TransIrriCost,TransIrriCost_per_Acre,StandingWater,Ganaura,Ganaura_per_Acre,CropOrgFYM,CropOrgFYM_per_Acre,PCropSolidOrgFertAppMethod,NoFertilizerAppln,BasalDAP,BasalDAP_per_Acre,BasalUrea,BasalUrea_per_Acre,MineralFertAppMethod,1tdUrea,1tdUrea_per_Acre,1appDaysUrea,2tdUrea,2tdUrea_per_Acre,2appDaysUrea,MineralFertAppMethod.1,Harv_method,Harv_date,Harv_hand_rent,Harv_hand_rent_per_Acre,Threshing_date,Threshing_method,Residue_length,Residue_perc,Stubble_use,Acre,Yield,Yield_per_Acre,LandPrepMethod_TractorPlough,LandPrepMethod_FourWheelTracRotavator,LandPrepMethod_WetTillagePuddling,LandPrepMethod_BullockPlough,LandPrepMethod_Other,NursDetFactor_CalendarDate,NursDetFactor_PreMonsoonShowers,NursDetFactor_IrrigWaterAvailability,NursDetFactor_LabourAvailability,NursDetFactor_SeedAvailability,TransDetFactor_LabourAvailability,TransDetFactor_CalendarDate,TransDetFactor_RainArrival,TransDetFactor_IrrigWaterAvailability,TransDetFactor_SeedlingAge,CropbasalFerts_Urea,CropbasalFerts_DAP,CropbasalFerts_Other,CropbasalFerts_NPK,CropbasalFerts_MoP,CropbasalFerts_NPKS,CropbasalFerts_SSP,CropbasalFerts_None,FirstTopDressFert_Urea,FirstTopDressFert_DAP,FirstTopDressFert_NPK,FirstTopDressFert_NPKS,FirstTopDressFert_SSP,FirstTopDressFert_Other,OrgFertilizers_Ganaura,OrgFertilizers_FYM,OrgFertilizers_VermiCompost,OrgFertilizers_Pranamrit,OrgFertilizers_Ghanajeevamrit,OrgFertilizers_Jeevamrit,OrgFertilizers_PoultryManure,Nb_of_NaN,k2label,k3label,k4label,k5label
ID_92OQSAHCN51N,train,Jamui,Khaira,2022-07-21,4,Manual_PuddledLine,2022-06-30,2022-07-26,1.0,3.0,Boring,Diesel,350.0,592.3076923076923,2.0,0.0,,2.0,3.3846153846153846,SoilApplied,3,13.0,22.0,0.0,,Broadcasting,15.0,25.384615384615383,25.0,12.0,20.307692307692307,65.0,Broadcasting,hand,2022-12-01,1200.0,2030.7692307692307,2022-12-23,hand,22,10,plowed_in_soil,0.5909090909090909,1300.0,2200.0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2,A,A,A,A
ID_LPERFIRDG4R1,train,Nalanda,Noorsarai,2022-07-23,4,Manual_PuddledRandom,2022-06-23,2022-07-24,2.0,6.0,Boring,Electric,180.0,640.0,2.0,0.0,,0.0,,,2,9.0,32.0,18.0,64.0,Broadcasting,18.0,64.0,28.0,0.0,,,Broadcasting,hand,2022-11-14,90.0,320.0,2023-01-21,machine,26,10,plowed_in_soil,0.28125,450.0,1600.0,True,False,False,False,False,True,False,True,False,True,False,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,5,A,A,A,B
ID_7GO8WWV6X2G1,train,Nalanda,Noorsarai,2022-07-23,4,Manual_PuddledRandom,2022-06-20,2022-07-24,2.0,6.0,Boring,Electric,250.0,800.0,3.0,0.0,,0.0,,,2,10.0,32.0,15.0,48.0,Broadcasting,15.0,48.0,40.0,0.0,,,Broadcasting,machine,2022-11-29,0.0,,2022-11-30,machine,25,40,plowed_in_soil,0.3125,450.0,1440.0,True,False,False,False,False,True,False,True,False,True,False,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6,A,A,A,B
ID_SJYVZSXJCX8S,train,Jamui,Jamui,2022-07-23,4,Manual_PuddledRandom,2022-06-19,2022-07-29,4.0,5.0,Boring,Electric,1000.0,2200.0000000000005,3.0,4.0,8.8,0.0,,Broadcasting,3,0.0,,0.0,,Broadcasting,2.0,4.4,30.0,1.0,2.2,60.0,Broadcasting,hand,2022-11-30,90.0,198.00000000000003,2023-02-02,hand,29,10,plowed_in_soil,0.4545454545454545,800.0,1760.0000000000002,True,False,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,3,B,C,C,D
ID_O99ZE30OJQ0E,train,Jamui,Jamui,2022-06-29,4,Manual_PuddledRandom,2022-06-21,2022-07-27,4.0,2.0,Boring,Electric,400.0,2200.0000000000005,3.0,2.0,11.000000000000002,0.0,,Broadcasting,3,0.0,,0.0,,Broadcasting,2.0,11.000000000000002,30.0,1.0,5.500000000000001,60.0,Broadcasting,hand,2022-11-26,90.0,495.00000000000006,2023-01-27,hand,29,10,plowed_in_soil,0.1818181818181818,280.0,1540.0000000000002,True,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,3,B,C,C,D
ID_Z6B7YYFTNM37,train,Nalanda,Rajgir,2022-07-10,2,Broadcasting,,2022-07-12,,9.0,Boring,Electric,,,3.0,0.0,,18.0,64.0,Broadcasting,3,9.0,32.0,9.0,32.0,Broadcasting,9.0,32.0,28.0,12.0,42.66666666666666,56.0,Broadcasting,machine,2022-12-17,0.0,,2022-12-17,machine,25,40,plowed_in_soil,0.28125,720.0,2560.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,8,A,A,D,E
ID_K1DJXUHJ0N41,train,Gaya,Gurua,2022-07-25,5,Manual_PuddledRandom,2022-06-25,2022-07-28,3.0,6.0,Boring,Electric,150.0,405.00000000000006,3.0,0.0,,0.0,,,2,0.0,,0.0,,Broadcasting,10.0,27.000000000000007,40.0,0.0,,,Broadcasting,hand,2022-11-22,120.0,324.00000000000006,2022-12-18,hand,27,10,plowed_in_soil,0.3703703703703703,750.0,2025.0000000000005,True,True,False,False,False,True,False,True,False,False,False,True,True,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,7,A,A,A,A
ID_NLYRDS71BFQ5,train,Vaishali,Garoul,2022-07-08,6,Manual_PuddledRandom,2022-06-18,2022-07-11,1.0,2.0,Boring,Electric,,,3.0,0.0,,35.0,154.0,SoilApplied,3,10.0,43.99999999999999,0.0,,SoilApplied,5.0,22.0,30.0,5.0,22.0,50.0,Broadcasting,hand,2022-10-15,1000.0,4400.0,2022-10-28,hand,30,10,plowed_in_soil,0.2272727272727273,350.0,1539.9999999999998,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,4,A,A,A,A
ID_QI1Y04PL4BL4,train,Vaishali,Garoul,2022-07-20,6,Manual_PuddledLine,2022-06-30,2022-07-27,2.0,,,,,,2.0,0.0,,0.0,,SoilApplied,2,6.0,43.99999999999999,0.0,,SoilApplied,6.0,43.99999999999999,50.0,0.0,,,Broadcasting,hand,2022-10-31,600.0,4399.999999999998,2022-11-15,hand,30,10,plowed_in_soil,0.1363636363636364,210.0,1539.9999999999995,True,False,False,False,False,False,True,False,False,True,False,True,True,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,10,A,A,A,A
ID_M15DEOHHIANN,train,Nalanda,Rajgir,2022-06-12,6,Manual_PuddledRandom,2022-06-20,2022-07-14,1.0,5.0,Boring,Electric,200.0,800.0,2.0,25.0,100.0,0.0,,SoilApplied,2,13.0,52.0,0.0,,Broadcasting,12.0,48.0,26.0,0.0,,,Broadcasting,hand,2022-11-25,560.0,2240.0,2023-03-10,machine,25,10,plowed_in_soil,0.25,480.0,1920.0,True,True,False,False,False,True,True,True,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,4,A,A,A,A
ID_AL1AO5QK2GB8,train,Nalanda,Rajgir,2022-07-13,6,Manual_PuddledRandom,2022-06-25,2022-07-14,2.0,6.0,Boring,Electric,120.0,295.38461538461536,4.0,4.0,9.846153846153848,0.0,,SoilApplied,2,13.0,32.0,0.0,,SoilApplied,26.0,64.0,26.0,0.0,,,Broadcasting,hand,2022-12-12,600.0,1476.923076923077,2023-01-06,machine,25,10,plowed_in_soil,0.40625,1200.0,2953.846153846154,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,4,A,A,A,A
ID_1YX1Q0KU8H4J,train,Nalanda,Noorsarai,2022-07-16,5,Manual_PuddledRandom,2022-06-18,2022-07-17,1.0,6.0,Boring,Electric,120.0,320.0,3.0,0.0,,0.0,,,1,0.0,,25.0,66.66666666666667,Broadcasting,0.0,,,0.0,,,,hand,2022-10-20,1200.0,3200.0,2022-11-02,machine,25,10,plowed_in_soil,0.375,720.0,1920.0,True,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,A,B,B,B
ID_GO9NJB2IHGJ5,train,Jamui,Khaira,2022-07-26,4,Manual_PuddledRandom,2022-07-04,2022-08-04,1.0,2.0,Boring,Diesel,250.0,550.0000000000001,2.0,0.0,,2.0,4.4,SoilApplied,3,10.0,22.000000000000004,0.0,,Broadcasting,10.0,22.000000000000004,23.0,10.0,22.000000000000004,65.0,Broadcasting,hand,2022-12-01,900.0,1980.0,2022-12-16,hand,23,10,plowed_in_soil,0.4545454545454545,1100.0,2420.0000000000005,True,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2,A,A,A,A
ID_XR4T47FT6ZYJ,train,Vaishali,Mahua,2022-07-05,5,Manual_PuddledRandom,2022-06-26,2022-07-10,2.0,1.0,Canal,Diesel,100.0,1100.0000000000002,2.0,0.0,,0.0,,,2,5.0,55.00000000000001,5.0,55.00000000000001,SoilApplied,5.0,55.00000000000001,35.0,0.0,,,SoilApplied,hand,2022-10-15,150.0,1650.0000000000002,2022-10-25,hand,30,10,plowed_in_soil,0.0909090909090909,250.0,2750.0000000000005,True,True,True,True,False,True,True,True,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,5,A,A,A,A
ID_U1V8335Z0GDF,train,Vaishali,Mahua,2022-06-07,5,Manual_PuddledRandom,2022-06-13,2022-07-22,2.0,3.0,Boring,Diesel,6000.0,33000.00000000001,2.0,0.0,,1.0,5.500000000000001,Broadcasting,3,2.0,11.000000000000002,0.0,,Broadcasting,8.0,44.00000000000001,25.0,8.0,44.00000000000001,50.0,Broadcasting,hand,2022-10-15,800.0,4400.000000000001,2022-10-26,hand,30,10,plowed_in_soil,0.1818181818181818,8.0,44.00000000000001,True,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2,A,A,A,A
ID_11OD12LPD8Q0,train,Vaishali,Chehrakala,2022-07-14,5,Manual_PuddledRandom,2022-07-07,2022-07-28,1.0,5.0,Canal,Diesel,800.0,3519.9999999999995,2.0,2.0,8.799999999999999,0.0,,SoilApplied,2,10.0,43.99999999999999,12.0,52.8,Broadcasting,8.0,35.2,8.0,0.0,,,Broadcasting,hand,2022-10-18,200.0,879.9999999999999,2022-10-26,hand,25,10,plowed_in_soil,0.2272727272727273,400.0,1759.9999999999998,True,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,3,A,A,A,A
ID_KJBLV8AG5QFK,train,Vaishali,Mahua,2022-06-25,4,Manual_PuddledRandom,2022-06-02,2022-07-04,2.0,4.0,Boring,Electric,600.0,1650.0000000000002,2.0,1.0,2.7500000000000004,3.0,8.250000000000002,SoilApplied,3,24.0,66.00000000000001,0.0,,Broadcasting,24.0,66.00000000000001,20.0,16.0,44.00000000000001,60.0,Broadcasting,hand,2022-11-05,1600.0,4400.000000000001,2022-11-15,hand,30,10,plowed_in_soil,0.3636363636363636,400.0,1100.0000000000002,True,True,False,False,False,True,False,True,False,False,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,1,A,A,A,A
ID_W5DNZWLP1C38,train,Jamui,Jamui,2022-06-25,4,Manual_PuddledRandom,2022-06-29,2022-08-14,3.0,4.0,Boring,Electric,400.0,2200.0000000000005,1.0,3.0,16.500000000000004,0.0,,Broadcasting,2,15.0,82.50000000000001,15.0,82.50000000000001,Broadcasting,10.0,55.00000000000001,10.0,0.0,,,Broadcasting,hand,2022-11-11,200.0,1100.0000000000002,2023-01-23,machine,26,10,plowed_in_soil,0.1818181818181818,320.0,1760.0000000000002,True,False,True,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,3,A,B,B,C
ID_4MSB04KR90HL,train,Jamui,Jamui,2022-07-08,4,Manual_PuddledRandom,2022-07-06,2022-07-26,3.0,4.0,Boring,Electric,400.0,1759.9999999999998,1.0,4.0,17.599999999999998,0.0,,Broadcasting,2,10.0,43.99999999999999,10.0,43.99999999999999,Broadcasting,5.0,22.0,5.0,0.0,,,Broadcasting,hand,2022-11-09,300.0,1319.9999999999998,2023-01-23,machine,26,10,plowed_in_soil,0.2272727272727273,4000.0,17600.0,True,False,True,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,3,A,B,B,C
ID_UH22TV86YDAR,train,Gaya,Gurua,2022-07-27,5,Manual_PuddledRandom,2022-06-25,2022-07-30,3.0,5.0,Boring,Electric,150.0,405.00000000000006,3.0,1.0,2.7000000000000006,0.0,,SoilApplied,2,10.0,27.000000000000007,0.0,,Broadcasting,10.0,27.000000000000007,35.0,0.0,,,Broadcasting,hand,2022-11-20,120.0,324.00000000000006,2022-12-16,hand,30,10,plowed_in_soil,0.3703703703703703,800.0,2160.0000000000005,True,True,False,False,False,True,False,True,False,False,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,4,A,A,A,A
ID_XSWJJ8S2NXQG,train,Jamui,Khaira,2022-07-26,3,Manual_PuddledRandom,2022-06-27,2022-07-27,3.0,2.0,Boring,Electric,,,11.0,0.0,,0.0,,,1,8.0,35.2,11.0,48.4,Broadcasting,0.0,,,0.0,,,,hand,2022-11-11,100.0,440.0,2023-01-03,machine,28,10,plowed_in_soil,0.2272727272727273,400.0,1759.9999999999998,True,False,False,False,False,False,False,True,False,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,A,B,B,B
ID_CFTN3K8U0YBR,train,Vaishali,Garoul,2022-07-12,6,Manual_PuddledRandom,2022-06-22,2022-07-19,1.0,,,,,,3.0,0.0,,15.0,82.50000000000001,SoilApplied,2,8.0,44.00000000000001,0.0,,SoilApplied,8.0,44.00000000000001,50.0,0.0,,,Broadcasting,hand,2022-10-15,800.0,4400.000000000001,2022-10-28,hand,30,10,plowed_in_soil,0.1818181818181818,380.0,2090.0000000000005,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,9,A,A,A,A
ID_OP0YRV6RDXHQ,train,Nalanda,Rajgir,2022-07-12,5,Manual_PuddledLine,2022-06-28,2022-07-15,2.0,5.0,Boring,Electric,150.0,480.0,5.0,1.0,3.2,0.0,,SoilApplied,2,20.0,64.0,10.0,32.0,Broadcasting,10.0,32.0,45.0,0.0,,,Broadcasting,hand,2022-11-16,900.0,2880.0,2022-12-02,machine,25,10,plowed_in_soil,0.3125,600.0,1920.0,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,3,A,A,A,B
ID_NT3N95UN82Z0,train,Vaishali,Chehrakala,2022-07-13,5,Manual_PuddledRandom,2022-07-06,2022-08-03,1.0,2.0,Boring,Diesel,400.0,4400.000000000001,,0.0,,0.0,,,1,10.0,110.0,0.0,,Broadcasting,0.0,,,0.0,,,,hand,2022-10-10,200.0,2200.0000000000005,2022-10-20,hand,22,10,plowed_in_soil,0.0909090909090909,180.0,1980.0,True,True,False,False,False,False,True,True,True,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,A,A,A,B
ID_UEE7BDOTOECZ,train,Vaishali,Chehrakala,2022-07-20,5,Manual_PuddledRandom,2022-07-15,2022-08-10,1.0,5.0,Boring,Diesel,1000.0,3666.666666666667,2.0,3.0,11.0,0.0,,SoilApplied,2,10.0,36.66666666666667,15.0,55.00000000000001,Broadcasting,12.0,44.0,12.0,0.0,,,Broadcasting,hand,2022-10-15,200.0,733.3333333333334,2022-10-25,machine,23,10,plowed_in_soil,0.2727272727272727,500.0,1833.3333333333333,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,3,A,A,A,A
ID_IC8XYYV22B5N,train,Jamui,Khaira,2022-06-29,5,Manual_PuddledRandom,2022-07-08,2022-07-28,3.0,1.0,Canal,,,,3.0,0.0,,0.0,,,3,3.0,21.999999999999996,0.0,,Broadcasting,4.0,29.333333333333325,25.0,6.0,43.99999999999999,62.0,Broadcasting,hand,2022-11-02,200.0,1466.6666666666663,2022-12-12,machine,28,10,plowed_in_soil,0.1363636363636364,300.0,2199.999999999999,True,False,False,False,False,True,False,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,7,A,A,A,A
ID_1SL350WD4WML,train,Vaishali,Mahua,2022-06-05,3,Manual_PuddledRandom,2022-06-08,2022-07-07,1.0,4.0,Boring,Electric,400.0,1759.9999999999998,1.0,0.0,,2.0,8.799999999999999,SoilApplied,3,10.0,43.99999999999999,10.0,43.99999999999999,Broadcasting,10.0,43.99999999999999,25.0,10.0,43.99999999999999,50.0,Broadcasting,hand,2022-11-07,800.0,3519.9999999999995,2023-02-24,hand,25,10,plowed_in_soil,0.2272727272727273,600.0,2639.9999999999995,True,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,1,A,A,A,A
ID_AAY8OCSQ30RL,train,Nalanda,Noorsarai,2022-07-17,5,Manual_PuddledRandom,2022-06-24,2022-07-18,2.0,7.0,Boring,Electric,300.0,640.0,2.0,0.0,,0.0,,,2,0.0,,0.0,,SoilApplied,30.0,64.0,45.0,0.0,,,Broadcasting,hand,2022-11-05,1200.0,2560.0,2022-12-13,machine,26,10,plowed_in_soil,0.46875,860.0,1834.6666666666667,True,True,False,False,False,True,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,7,A,A,A,B
ID_LG4FMAMKA8QC,train,Vaishali,Chehrakala,2022-07-16,2,Manual_PuddledRandom,2022-07-27,2022-08-19,2.0,7.0,Boring,Electric,,,,4.0,12.571428571428571,4.0,12.571428571428571,SoilApplied,2,7.0,22.0,7.0,22.0,Broadcasting,7.0,22.0,15.0,0.0,,,Broadcasting,hand,2022-10-25,2100.0,6600.0,2022-10-31,machine,28,10,plowed_in_soil,0.3181818181818182,410.0,1288.571428571429,True,False,True,False,False,True,False,True,True,True,False,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,5,A,A,A,B
